TP GER;DESC TP GER;CONTA P&L;Nivel
DIMP;IMPOSTOS/CONTRIB. PECUARIA;RECEITAS;1.1
DVD ;DIVIDENDOS RECEBIDOS;RECEITAS;1.1
DVIM;IMPOSTOS SOBRE VENDAS;RECEITAS;1.1
VARZ;VENDAS DE ARROZ;RECEITAS;1.1
VDIV;VENDAS DIVERSAS / OUTRAS RECEITAS;RECEITAS;1.1
VMIL;VENDAS DE MILHO;RECEITAS;1.1
VPEC;VENDA PECUARIA;RECEITAS;1.1
VPR ;VENDAS DE SOJA;RECEITAS;1.1
VSI ;VENDA SOBRA INSUMOS;RECEITAS;1.1
ADUB;ADUBOS / FERTILIZANTES;CUSTOS DIRETO;1.2
CALC;CALCARIO / CORRETIVO;CUSTOS DIRETO;1.2
DEF ;DEFENSIVOS;CUSTOS DIRETO;1.2
DNTR;PECUARIA - NUTRICAO ANIMAL;CUSTOS DIRETO;1.2
IPEC;PECUARIA - COMPRA GADO;CUSTOS DIRETO;1.2
SEM ;SEMENTES;CUSTOS DIRETO;1.2
AJUD;ACOES / ACORDOS JUDICIAIS;DESPESAS OPERACIONAIS;1.4
ARR ;ARRENDAMENTOS;DESPESAS OPERACIONAIS;1.4
DAAG;AVIAO AGRICOLA / PULVERIZACAO;DESPESAS OPERACIONAIS;1.4
DABA;COMBUSTIVEIS / ABASTECIMENTO EXTERNO;DESPESAS OPERACIONAIS;1.4
DACN;ASSESSORIAS E CONSULTORIAS;DESPESAS OPERACIONAIS;1.4
DADM;ADMINISTRATIVO / ESCRITORIO;DESPESAS OPERACIONAIS;1.4
DARM;ARMAZEM / MANUTENCAO E INSUMOS;DESPESAS OPERACIONAIS;1.4
DART;ARMAZENAGEM EM TERCEIROS;DESPESAS OPERACIONAIS;1.4
DBEN;MO - BENEFICIOS;DESPESAS OPERACIONAIS;1.4
DCAN;CANTINA / ALIMENTACAO;DESPESAS OPERACIONAIS;1.4
DCAP;CURSOS E CAPACITACOES;DESPESAS OPERACIONAIS;1.4
DCON;OUTRAS DESPESAS / MATERIAL DIVERSO;DESPESAS OPERACIONAIS;1.4
DDAD;DESPESAS COM ANIMAIS DOMESTICOS;DESPESAS OPERACIONAIS;1.4
DDES;MO - DESLOCAMENTO DE COLABORADORES;DESPESAS OPERACIONAIS;1.4
DDIE;COMBUSTIVEIS / POSTO FAZENDA;DESPESAS OPERACIONAIS;1.4
DDIV;IMPOSTOS E TAXAS DIVERSAS;DESPESAS OPERACIONAIS;1.4
DENE;ENERGIA ELETRICA;DESPESAS OPERACIONAIS;1.4
DFAB;FABRICA DE RACAO / MANUTENCAO;DESPESAS OPERACIONAIS;1.4
DFES;FESTAS E CONFRATERNIZACOES;DESPESAS OPERACIONAIS;1.4
